2025-07-11 03:02:42.444 INFO  (main) [c: s: r: x: t:] o.e.j.s.Server jetty-10.0.22; built: 2024-06-27T16:03:51.502Z; git: 5c8471e852d377fd726ad9b1692c35ffc5febb09; jvm 17.0.15+6
2025-07-11 03:02:42.917 WARN  (main) [c: s: r: x: t:] o.e.j.u.DeprecationWarning Using @Deprecated Class org.eclipse.jetty.servlet.listener.ELContextCleaner
2025-07-11 03:02:42.961 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider Using logger factory org.apache.logging.slf4j.Log4jLoggerFactory
2025-07-11 03:02:42.972 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider  ___      _       Welcome to Apache Solr™ version 9.8.1
2025-07-11 03:02:42.973 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider / __| ___| |_ _   Starting in standalone mode on port 8983
2025-07-11 03:02:42.973 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider \__ \/ _ \ | '_|  Install dir: /opt/solr-9.8.1
2025-07-11 03:02:42.973 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider |___/\___/_|_|    Start time: 2025-07-11T03:02:42.973453031Z
2025-07-11 03:02:42.977 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider Solr started with "-XX:+CrashOnOutOfMemoryError" that will crash on any OutOfMemoryError exception. The cause of the OOME will be logged in the crash file at the following path: /var/solr/logs/jvm_crash_11.log
2025-07-11 03:02:43.013 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider Solr Home: /var/solr/data (source: system property: solr.solr.home)
2025-07-11 03:02:43.045 INFO  (main) [c: s: r: x: t:] o.a.s.c.SolrResourceLoader Added 1 libs to classloader, from paths: [/opt/solr-9.8.1/modules/ltr/lib]
2025-07-11 03:02:43.045 INFO  (main) [c: s: r: x: t:] o.a.s.c.NodeConfig Added module ltr. libPath=/opt/solr-9.8.1/modules/ltr/lib with 1 libs
2025-07-11 03:02:43.049 INFO  (main) [c: s: r: x: t:] o.a.s.c.SolrResourceLoader Added 82 libs to classloader, from paths: [/opt/solr-9.8.1/modules/extraction/lib]
2025-07-11 03:02:43.050 INFO  (main) [c: s: r: x: t:] o.a.s.c.NodeConfig Added module extraction. libPath=/opt/solr-9.8.1/modules/extraction/lib with 82 libs
2025-07-11 03:02:43.052 INFO  (main) [c: s: r: x: t:] o.a.s.c.SolrResourceLoader Added 5 libs to classloader, from paths: [/opt/solr-9.8.1/modules/langid/lib]
